MESA,INSCRITOS,ASISTENCIA,VOTOS VALIDOS,VOTOS BLANCOS ,VOTOS NULOS,VOTOS EMITIDOS,% VOTOS VALIDOS,% VOTOS BLANCOS ,% VOTOS NULOS,% VOTOS EMITIDOS,RECINTO,ZONA,DISTRITO,CIRCUNSCRIPCION,
3,127,55,,,,0,0.00%,0.00%,0.00%,0.00%,U. E. Ff. Aa. De La Nación,BOLONIA,DISTRITO_11,7,
4,33,18,,,,0,0.00%,0.00%,0.00%,0.00%,U. E. Ff. Aa. De La Nación,BOLONIA,DISTRITO_11,7,
2,98,50,39,3,8,50,39.80%,3.06%,8.16%,51.02%,Colegio Saint Peters,BELLO_HORIZONTE,DISTRITO_21,8,
1,160,62,64,7,12,83,40.00%,4.38%,7.50%,51.88%,Colegio Saint Peters,BELLO_HORIZONTE,DISTRITO_21,8,
4,95,37,30,1,6,37,31.58%,1.05%,6.32%,38.95%,Colegio Max Toledo (Callampaya),CALLAMPAYA,DISTRITO_26,9,
1,186,68,64,1,7,72,34.41%,0.54%,3.76%,38.71%,Colegio Max Toledo (Callampaya),CALLAMPAYA,DISTRITO_26,9,
2,161,1,65,2,4,71,40.37%,1.24%,2.48%,44.10%,Colegio Max Toledo (Callampaya),CALLAMPAYA,DISTRITO_26,9,
3,172,0,62,2,3,67,36.05%,1.16%,1.74%,38.95%,Colegio Max Toledo (Callampaya),CALLAMPAYA,DISTRITO_26,9,
1,88,44,32,3,7,42,36.36%,3.41%,7.95%,47.73%,Colegio Franco Boliviano,ACHUMANI_BAJO_Y_MESETA,DISTRITO_12,7,
2,79,24,21,2,3,26,26.58%,2.53%,3.80%,32.91%,Colegio Luis Alberto Pabon,ZONA_NORTE,DISTRITO_3,9,
3,79,38,31,0,7,38,39.24%,0.00%,8.86%,48.10%,Colegio Franco Boliviano,ACHUMANI_BAJO_Y_MESETA,DISTRITO_12,7,
1,176,62,52,4,7,63,29.55%,2.27%,3.98%,35.80%,Colegio Luis Alberto Pabon,ZONA_NORTE,DISTRITO_3,9,
2,101,36,32,0,4,36,31.68%,0.00%,3.96%,35.64%,Colegio Franco Boliviano,ACHUMANI_BAJO_Y_MESETA,DISTRITO_12,7,
4,88,30,26,0,4,30,29.55%,0.00%,4.55%,34.09%,Colegio Franco Boliviano,ACHUMANI_BAJO_Y_MESETA,DISTRITO_12,7,
5,115,48,31,2,15,48,26.96%,1.74%,13.04%,41.74%,Colegio Franco Boliviano,ACHUMANI_BAJO_Y_MESETA,DISTRITO_12,7,
6,101,36,26,2,8,36,25.74%,1.98%,7.92%,35.64%,Colegio Franco Boliviano,ACHUMANI_BAJO_Y_MESETA,DISTRITO_12,7,
7,84,38,32,0,6,38,38.10%,0.00%,7.14%,45.24%,Colegio Franco Boliviano,ACHUMANI_BAJO_Y_MESETA,DISTRITO_12,7,
6,62,23,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa 24 de Junio,PAMPAHASI_ALTO,DISTRITO_9,7,
3,184,0,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa 24 de Junio,PAMPAHASI_ALTO,DISTRITO_9,7,
8,109,48,38,2,8,48,34.86%,1.83%,7.34%,44.04%,Colegio Franco Boliviano,ACHUMANI_BAJO_Y_MESETA,DISTRITO_12,7,
4,173,0,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa 24 de Junio,PAMPAHASI_ALTO,DISTRITO_9,7,
5,170,0,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa 24 de Junio,PAMPAHASI_ALTO,DISTRITO_9,7,
2,185,70,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa 24 de Junio,PAMPAHASI_ALTO,DISTRITO_9,7,
1,171,0,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa 24 de Junio,PAMPAHASI_ALTO,DISTRITO_9,7,
1,189,55,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Sergio Suarez,VILLA_DE_LA_CRUZ,DISTRITO_2,9,
2,200,64,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Sergio Suarez,VILLA_DE_LA_CRUZ,DISTRITO_2,9,
1,155,0,46,2,9,57,29.68%,1.29%,5.81%,36.77%,Col. Copacabana,VILLA_COPACABANA,DISTRITO_7,6,
5,190,61,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Sergio Suarez,VILLA_DE_LA_CRUZ,DISTRITO_2,9,
4,197,37,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Sergio Suarez,VILLA_DE_LA_CRUZ,DISTRITO_2,9,
2,154,49,60,4,5,69,38.96%,2.60%,3.25%,44.81%,Col. Copacabana,VILLA_COPACABANA,DISTRITO_7,6,
7,117,51,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Sergio Suarez,VILLA_DE_LA_CRUZ,DISTRITO_2,9,
3,140,0,36,1,4,41,25.71%,0.71%,2.86%,29.29%,Col. Copacabana,VILLA_COPACABANA,DISTRITO_7,6,
4,158,0,52,2,8,62,32.91%,1.27%,5.06%,39.24%,Col. Copacabana,VILLA_COPACABANA,DISTRITO_7,6,
3,194,57,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Sergio Suarez,VILLA_DE_LA_CRUZ,DISTRITO_2,9,
6,103,0,63,1,5,69,61.17%,0.97%,4.85%,66.99%,Col. Copacabana,VILLA_COPACABANA,DISTRITO_7,6,
6,187,45,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Sergio Suarez,VILLA_DE_LA_CRUZ,DISTRITO_2,9,
1,180,40,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. La Merced,BARRIO_MINASA,DISTRITO_6,6,
5,160,0,35,2,6,43,21.88%,1.25%,3.75%,26.88%,Col. Copacabana,VILLA_COPACABANA,DISTRITO_7,6,
2,208,49,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. La Merced,BARRIO_MINASA,DISTRITO_6,6,
4,177,48,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. La Merced,BARRIO_MINASA,DISTRITO_6,6,
5,181,64,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. La Merced,BARRIO_MINASA,DISTRITO_6,6,
6,189,0,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. La Merced,BARRIO_MINASA,DISTRITO_6,6,
3,182,48,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. La Merced,BARRIO_MINASA,DISTRITO_6,6,
2,187,61,59,3,6,68,31.55%,1.60%,3.21%,36.36%,Colegio Irene Nava,VILLA_EL_CARMEN,DISTRITO_6,6,
1,172,59,50,5,4,59,29.07%,2.91%,2.33%,34.30%,Colegio Irene Nava,VILLA_EL_CARMEN,DISTRITO_6,6,
3,179,69,75,1,0,76,41.90%,0.56%,0.00%,42.46%,Colegio Irene Nava,VILLA_EL_CARMEN,DISTRITO_6,6,
4,192,66,58,2,7,67,30.21%,1.04%,3.65%,34.90%,Colegio Irene Nava,VILLA_EL_CARMEN,DISTRITO_6,6,
6,181,73,69,1,3,73,38.12%,0.55%,1.66%,40.33%,Colegio Irene Nava,VILLA_EL_CARMEN,DISTRITO_6,6,
5,167,69,61,4,4,69,36.53%,2.40%,2.40%,41.32%,Colegio Irene Nava,VILLA_EL_CARMEN,DISTRITO_6,6,
3,186,68,,,,0,0.00%,0.00%,0.00%,0.00%,U.E. Copacabana (Fe y Alegria),LA_PORTADA,DISTRITO_27,9,
1,191,60,,,,0,0.00%,0.00%,0.00%,0.00%,U.E. Copacabana (Fe y Alegria),LA_PORTADA,DISTRITO_27,9,
4,184,64,,,,0,0.00%,0.00%,0.00%,0.00%,U.E. Copacabana (Fe y Alegria),LA_PORTADA,DISTRITO_27,9,
