oso;nombre;inscritos;MAS;votosBlancos;votosNulos;votosValidos;votosEmitidos;idRecinto;Recinto;Zona;PDC;PVB_IEP;MSM;MAS;UD
;190020511;234;146;2;7;203;212;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;19;8;7;146;23
;190020512;232;119;5;8;200;213;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;22;8;16;119;35
;190020513;233;143;2;7;208;217;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;12;11;7;143;35
;190020514;236;146;2;4;212;218;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;17;5;12;146;32
;190020515;233;149;0;8;220;228;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;19;13;13;149;26
;190020516;234;125;3;7;208;218;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;22;7;11;125;43
;190020517;231;152;5;6;204;215;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;5;11;14;152;22
;190020518;231;145;1;8;207;216;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;13;14;11;145;24
;190020519;231;137;2;7;204;213;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;13;10;8;137;36
;190020520;233;119;2;3;213;218;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;27;16;14;119;37
;190020521;232;134;1;8;206;215;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;21;5;15;134;31
;190020522;234;128;2;10;204;216;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;20;13;12;128;31
;190020523;235;137;4;2;208;214;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;15;16;5;137;35
;190020524;234;163;0;5;210;215;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;9;13;8;163;17
;190020525;236;116;3;6;201;210;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;26;13;18;116;28
